"code_iris","x","y"
"010010000","800329.0","2131242.0"
"010020000","839097.5","2116594.0"
"010040101","832839.5","2112270.0"
"010040102","833197.5","2110351.0"
"010040201","833950.5","2111571.0"
"010040202","835676.0","2110853.5"
"010050000","799504.5","2114290.5"
"010060000","853335.5","2088359.0"
"010070000","834360.5","2116696.0"
"010080000","832493.5","2108275.5"
"010090000","858359.5","2092568.0"
"010100000","868264.5","2106875.5"
"010110000","856510.0","2139204.0"
"010120000","846062.0","2115699.0"
"010130000","845288.0","2103630.0"
"010140000","858226.0","2148187.5"
"010150000","858129.0","2086349.0"
"010160000","801494.5","2167866.5"
"010170000","843838.5","2108421.5"
"010190000","852100.0","2099888.0"
"010210000","792331.5","2113058.0"
"010220000","860494.5","2102173.0"
"010230000","795744.5","2157159.5"
"010240000","819172.0","2146847.0"
"010250000","801912.0","2150827.5"
"010260000","799738.5","2148637.5"
"010270000","815241.5","2095827.5"
"010280000","798472.5","2126722.5"
"010290000","824919.5","2162788.0"
"010300000","787438.5","2114113.0"
"010310000","854491.0","2143167.0"
"010320000","817833.5","2099632.0"
"010330101","871346.0","2129624.0"
"010330102","869513.5","2129175.0"
"010330201","868667.5","2129914.0"
"010330202","868820.0","2129884.0"
"010330301","868218.5","2127208.5"
"010340101","859481.5","2087371.5"
"010340102","861065.0","2090135.5"
"010340103","861324.5","2088685.5"
"010350000","865511.5","2144900.0"
"010360000","857221.5","2104357.5"
"010370000","844430.5","2098395.0"
"010380000","826563.5","2150765.0"
"010390000","865089.5","2101069.0"
"010400000","808228.5","2155772.0"
"010410000","834668.5","2108341.0"
"010420000","793400.5","2138430.0"
"010430000","806571.0","2096311.0"
"010440000","864951.5","2125539.0"
"010450000","809500.5","2109269.5"
"010460000","800756.0","2139331.0"
"010470000","826352.5","2097961.0"
"010490000","808861.0","2097765.0"
"010500000","804725.5","2155946.5"
"010510000","841758.5","2137790.5"
"010520000","805860.0","2116809.5"
"010530101","823107.0","2138008.5"
"010530102","823113.0","2138098.5"
"010530103","822880.5","2137861.0"
"010530201","822156.5","2138181.0"
"010530202","821733.5","2137679.5"
"010530203","822054.5","2137027.0"
"010530301","822520.5","2137128.0"
"010530302","823349.0","2137114.5"
"010530401","823453.5","2136239.5"
"010530402","824793.0","2135867.5"
"010530501","824055.0","2137430.5"
"010530502","824522.5","2138559.0"
"010530503","824613.0","2137943.0"
"010530601","822605.0","2138770.5"
"010530602","823279.5","2138920.0"
"010530603","823571.5","2138585.5"
"010530604","823343.0","2139734.0"
"010530701","825540.5","2138472.5"
"010540000","817522.5","2102142.5"
"010560000","841832.5","2119849.5"
"010570000","798340.5","2159866.5"
"010580000","855395.5","2076444.5"
"010590000","863669.0","2111155.0"
"010600000","853316.0","2125215.0"
"010610000","861088.0","2085098.0"
"010620000","814419.5","2100558.5"
"010630000","847941.5","2134924.0"
"010640000","844638.0","2090238.5"
"010650000","816812.5","2138503.0"
"010660000","849334.5","2100932.0"
"010670000","844084.5","2129975.5"
"010680000","842771.0","2124287.0"
"010690000","826198.5","2130188.5"
"010710000","888349.5","2152973.0"
"010720000","830221.0","2135736.0"
"010730000","862779.5","2098549.5"
"010740000","819672.0","2116727.0"
"010750000","790666.0","2118100.5"
"010760000","848478.5","2110677.0"
"010770000","841041.5","2129627.5"
"010780000","880733.0","2137164.0"
"010790000","860203.0","2108990.5"
"010800000","852100.0","2119053.0"
"010810000","868729.5","2142275.0"
"010820000","865633.5","2117128.0"
"010830000","794458.0","2124749.5"
"010840000","807928.5","2135442.5"
"010850000","807364.5","2122228.0"
"010870000","857948.0","2137575.5"
"010880000","824232.0","2101307.0"
"010890000","830280.0","2112333.5"
"010900000","822328.0","2118185.5"
"010910000","865323.0","2131590.5"
"010920000","825402.0","2112503.0"
"010930000","802390.0","2128551.0"
"010940000","805141.5","2163496.5"
"010950000","837734.5","2146568.5"
"010960000","809625.5","2136831.0"
"010970000","863286.5","2103479.0"
"010980000","860254.0","2093574.5"
"010990000","826847.5","2103474.5"
"011000000","853685.0","2096666.5"
"011010000","850764.0","2128341.5"
"011020000","801742.5","2156948.5"
"011030000","885803.0","2149388.5"
"011040000","872485.0","2142185.5"
"011050000","797968.5","2105519.0"
"011060000","840253.5","2138270.5"
"011070000","840163.0","2105027.5"
"011080000","830564.0","2158660.0"
"011090000","875266.0","2132852.0"
"011100000","855980.0","2086867.0"
"011110000","843834.0","2103005.0"
"011120000","849151.0","2127950.5"
"011130000","812350.0","2131922.5"
"011140000","870236.0","2134155.5"
"011150000","809931.5","2145081.5"
"011160000","854923.5","2093876.0"
"011170000","854116.5","2085748.5"
"011180000","867542.0","2113235.5"
"011190000","850461.5","2120637.5"
"011210000","844871.5","2120134.0"
"011220000","853441.5","2109927.5"
"011230000","792341.0","2141425.5"
"011240000","821697.0","2163765.0"
"011250000","842059.5","2143816.5"
"011270000","832673.0","2151591.5"
"011280000","813250.0","2165603.0"
"011290000","821255.5","2111440.5"
"011300000","819152.5","2149797.5"
"011330000","866502.5","2092794.0"
"011340000","795696.5","2145663.5"
"011350000","881595.5","2149808.0"
"011360000","795890.5","2139046.0"
"011380000","867712.5","2100834.5"
"011390000","817253.5","2169223.5"
"011400000","813339.5","2145314.0"
"011410000","859801.5","2096763.0"
"011420000","812645.0","2098573.0"
"011430101","892762.5","2157916.5"
"011430102","890202.0","2160395.0"
"011430103","892612.5","2156893.0"
"011440000","804996.0","2152000.5"
"011450000","822802.0","2122681.0"
"011460000","798065.0","2130119.5"
"011470000","827269.0","2162151.5"
"011480000","854708.0","2151841.0"
"011490000","835174.5","2113915.0"
"011500000","833772.0","2140082.5"
"011510000","828800.0","2122981.0"
"011520000","862026.5","2142261.0"
"011530000","883415.0","2153261.5"
"011540000","819522.5","2152826.0"
